6,7,-1
9,10,-1
12,13,-1
15,16,-1
15,11,-1
15,17,-1
14,15,-1
18,19,-1
21,22,-1
24,25,-1
24,20,-1
24,26,-1
23,24,-1
27,28,-1
30,31,-1
30,23,-1
30,32,-1
29,30,-1
33,34,-1
33,11,-1
33,17,-1
29,33,-1
35,36,-1
35,20,-1
35,26,-1
29,35,-1
37,38,-1
40,41,-1
43,44,-1
43,39,-1
43,45,-1
42,43,-1
46,47,-1
49,50,-1
49,11,-1
49,17,-1
48,49,-1
51,52,-1
51,42,-1
51,53,-1
48,51,-1
54,55,-1
54,29,-1
54,56,-1
48,54,-1
57,58,-1
48,57,-1
46,48,-1
46,59,-1
42,46,-1
60,61,-1
60,29,-1
60,56,-1
42,60,-1
62,47,-1
62,58,-1
42,62,-1
40,42,-1
40,53,-1
39,40,-1
63,64,-1
63,29,-1
63,56,-1
39,63,-1
37,39,-1
37,45,-1
29,37,-1
65,66,-1
65,42,-1
65,53,-1
29,65,-1
67,68,-1
67,48,-1
67,59,-1
29,67,-1
69,68,-1
69,58,-1
29,69,-1
27,29,-1
27,56,-1
23,27,-1
21,23,-1
21,32,-1
20,21,-1
70,71,-1
70,14,-1
70,72,-1
20,70,-1
73,74,-1
73,11,-1
73,17,-1
20,73,-1
75,76,-1
75,29,-1
75,56,-1
20,75,-1
18,20,-1
18,26,-1
14,18,-1
12,14,-1
12,72,-1
11,12,-1
77,78,-1
77,20,-1
77,26,-1
11,77,-1
79,80,-1
79,48,-1
79,59,-1
11,79,-1
81,82,-1
81,29,-1
81,56,-1
11,81,-1
83,80,-1
83,58,-1
11,83,-1
9,11,-1
9,17,-1
8,9,-1
84,85,-1
84,48,-1
84,59,-1
8,84,-1
86,85,-1
86,58,-1
8,86,-1
6,8,-1
6,87,-1
5,6,-1
4,5,-1
89,90,-1
88,89,-1
4,88,-1
3,4,-1
2,3,-1
2,91,-1
93,94,-1
93,88,-1
93,95,-1
93,96,-1
93,91,-1
92,93,-1
2,92,-1
1,2,-1
