@relation manet
@attribute path string
@attribute attackNodeIP string
@attribute description string
@attribute fromHop numeric
@attribute toHop numeric
@attribute type {TCP,UDP}
@attribute distance numeric
@attribute passthrough {true, false}
@attribute beforeDelay numeric
@attribute beforeMissed numeric
@attribute beforeOOO numeric
@attribute beforeNumPackets numeric
@attribute duringDelay numeric
@attribute duringMissed numeric
@attribute duringOOO numeric
@attribute duringNumPackets numeric
@attribute afterDelay numeric
@attribute afterMissed numeric
@attribute afterOOO numeric
@attribute afterNumPackets numeric
@attribute srcSpoofed {true, false}
@attribute destSpoofed {true, false}
@attribute hopsToSpoofed numeric
@attribute duringLinkLost {true, false}
@attribute afterLinkLost {true, false}
@attribute attackName string
@attribute hopsFromSpoofedToDest numeric
@attribute attackerCloserToDestThanSpoofed {true, false}
@attribute spoofedBetweenAttacker {true, false}
@attribute isDstBetweenSpoofedAndAttacker {true, false}
@attribute spoofedBetweenAttackergw {true, false}
@attribute isDstBetweenSpoofedAndAttackergw {true, false}
@attribute isAttackerBetweenSpoofedAndDst {true, false}
@attribute isAttackerBetweenSpoofedAndDstgw {true, false}
@attribute isSrcBetweenSpoofedAndDst {true, false}
@attribute isSrcBetweenSpoofedAndDstgw {true, false}
@attribute altPathWithoutAttacker {true, false}
@data
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_chain_RIP_wired_255.255.255.0,20.0.0.2,17.0.0.2_19.0.0.2,5,3,UDP,5,false,23.8230556,0.0,0.0,46.6666666667,-27.184414,0.0,0.0,-53.3333333333,-1.68260553334,0.0,0.0,-3.33333333333,false,false,0,false,false,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_chain_RIP_wired_255.255.255.0,20.0.0.2,15.0.0.2_17.0.0.2,7,5,UDP,5,false,23.1209923667,0.0,0.0,46.6666666667,-26.4152955,0.0,0.0,-53.3333333333,-1.69488403334,0.0,0.0,-3.33333333333,false,false,0,false,false,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_chain_RIP_wired_255.255.255.0,20.0.0.2,16.0.0.2_15.0.0.2,6,7,TCP,4,false,23.5560580667,0.0,0.0,46.6666666667,-26.96250265,0.0,0.0,-53.3333333333,-1.78377116667,0.0,0.0,-3.33333333333,false,false,0,false,false,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_chain_RIP_wired_255.255.255.0,20.0.0.2,16.0.0.2_18.0.0.2,6,4,UDP,5,false,23.5447152333,0.0,0.0,46.6666666667,-26.91746945,0.0,0.0,-53.3333333333,-1.71261750001,0.0,0.0,-3.33333333333,false,false,0,false,false,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_chain_RIP_wired_255.255.255.0,20.0.0.2,17.0.0.2_16.0.0.2,5,6,TCP,4,false,23.8228526,0.0,0.0,46.6666666667,-27.3183080167,0.0,0.0,-53.3333333333,-1.85120906667,0.0,0.0,-3.33333333333,false,false,0,false,false,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_chain_RIP_wired_255.255.255.0,20.0.0.2,19.0.0.2_11.0.0.2,3,11,UDP,11,false,23.5278328667,0.0,0.0,46.6666666667,21.8684244167,0.0,0.0,43.5166666667,-0.892463466671,-195.033333333,0.0,-2.0,false,false,0,true,false,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_chain_RIP_wired_255.255.255.0,20.0.0.2,13.0.0.2_15.0.0.2,9,7,UDP,5,false,23.8212228333,0.0,0.0,46.6666666667,-27.2891564667,0.0,0.0,-53.3333333333,-1.81610243334,0.0,0.0,-3.33333333333,false,false,0,false,false,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_chain_RIP_wired_255.255.255.0,20.0.0.2,14.0.0.2_15.0.0.2,8,7,UDP,4,false,23.1885896,0.0,0.0,46.6666666667,-26.5275449333,0.0,0.0,-53.3333333333,-1.75612423334,0.0,0.0,-3.33333333333,false,false,0,false,false,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_chain_RIP_wired_255.255.255.0,20.0.0.2,18.0.0.2_17.0.0.2,4,5,TCP,4,false,23.8215762,0.0,0.0,46.6666666667,-27.2493352833,0.0,0.0,-53.3333333333,-1.75459146667,0.0,0.0,-3.33333333333,false,false,0,false,false,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_chain_RIP_wired_255.255.255.0,20.0.0.2,17.0.0.2_18.0.0.2,5,4,UDP,4,false,23.8172246,0.0,0.0,46.6666666667,-27.2534754333,0.0,0.0,-53.3333333333,-1.74246813334,0.0,0.0,-3.33333333333,false,false,0,false,false,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_chain_RIP_wired_255.255.255.0,20.0.0.2,11.0.0.2_12.0.0.2,11,10,UDP,4,false,23.1813209667,0.0,0.0,46.6666666667,-26.4772461333,0.0,0.0,-53.3333333333,-1.77495993333,0.0,0.0,-3.33333333333,false,false,0,false,false,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_chain_RIP_wired_255.255.255.0,20.0.0.2,14.0.0.2_16.0.0.2,8,6,UDP,5,false,23.1828630333,0.0,0.0,46.6666666667,-26.5466868333,0.0,0.0,-53.3333333333,-1.79385303334,0.0,0.0,-3.33333333333,false,false,0,false,false,blackHole,-1,false,false,false,false,false,false,false,false,false,true

/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_conn-grid_RIP_wired_255.255.255.0,20.0.0.2,18.0.0.2_19.0.0.2,3,3,UDP,4,false,23.7525737667,0.0,0.0,46.6666666667,-27.3613781167,0.0,0.0,-53.3333333333,23.7525737667,0.0,0.0,46.6666666667,false,false,0,false,true,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_conn-grid_RIP_wired_255.255.255.0,20.0.0.2,12.0.0.2_14.0.0.2,4,3,UDP,5,false,23.2902262,0.0,0.0,46.6666666667,-26.88901905,0.0,0.0,-53.3333333333,23.2902262,0.0,0.0,46.6666666667,false,false,0,false,true,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_conn-grid_RIP_wired_255.255.255.0,20.0.0.2,12.0.0.2_13.0.0.2,4,5,UDP,4,false,23.1417121333,0.0,0.0,46.6666666667,-26.67620295,0.0,0.0,-53.3333333333,23.1417121333,0.0,0.0,46.6666666667,false,false,0,false,true,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_conn-grid_RIP_wired_255.255.255.0,20.0.0.2,15.0.0.2_16.0.0.2,3,4,UDP,4,false,23.7808841333,0.0,0.0,46.6666666667,-27.47265885,0.0,0.0,-53.3333333333,23.7808841333,0.0,0.0,46.6666666667,false,false,0,false,true,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_conn-grid_RIP_wired_255.255.255.0,20.0.0.2,19.0.0.2_18.0.0.2,3,3,TCP,4,false,23.7933755667,0.0,0.0,46.6666666667,-27.3871646,0.0,0.0,-53.3333333333,23.7933755667,0.0,0.0,46.6666666667,false,false,0,false,true,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_conn-grid_RIP_wired_255.255.255.0,20.0.0.2,14.0.0.2_13.0.0.2,3,5,TCP,6,false,23.3727011667,0.0,0.0,46.6666666667,21.0372847167,0.0,0.0,42.2,23.3727011667,0.0,0.0,46.6666666667,false,false,0,true,true,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_conn-grid_RIP_wired_255.255.255.0,20.0.0.2,13.0.0.2_14.0.0.2,5,3,UDP,6,false,23.5699169667,0.0,0.0,46.6666666667,-27.1929772833,0.0,0.0,-53.3333333333,23.5699169667,0.0,0.0,46.6666666667,false,false,0,false,true,blackHole,-1,false,false,false,false,false,false,false,false,false,true
/root/wired/RIP/blackholeAttack255.255.255.0/10_60_60_blackholeAttack_sh_conn-grid_RIP_wired_255.255.255.0,20.0.0.2,13.0.0.2_12.0.0.2,5,4,TCP,4,false,23.4284042333,0.0,0.0,46.6666666667,-27.02425285,0.0,0.0,-53.3333333333,23.4284042333,0.0,0.0,46.6666666667,false,false,0,false,true,blackHole,-1,false,false,false,false,false,false,false,false,false,true
